순위,노래제목,가수
1,Love wins all,아이유
2,밤양갱,비비 (BIBI)
3,첫 만남은 계획대로 되지 않아,TWS (투어스)
4,To. X,태연 (TAEYEON)
5,비의 랩소디,임재현
6,Love 119,RIIZE
7,에피소드,이무진
8,Perfect Night,LE SSERAFIM (르세라핌)
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
10,Drama,aespa
11,EASY,LE SSERAFIM (르세라핌)
12,Super Lady,(여자)아이들
13,헤어지자 말해요,박재정
14,Wife,(여자)아이들
15,사랑은 늘 도망가,임영웅
16,인사,범진
17,꿈,태연 (TAEYEON)
18,Seven (feat. Latto) - Clean Ver.,정국
19,모래 알갱이,임영웅
20,MANIAC,VIVIZ (비비지)
21,I AM,IVE (아이브)
22,우리들의 블루스,임영웅
23,Get A Guitar,RIIZE
24,Do or Die,임영웅
25,다시 만날 수 있을까,임영웅
26,너의 모든 순간,성시경
27,Baddie,IVE (아이브)
28,Love Lee,AKMU (악뮤)
29,이제 나만 믿어요,임영웅
30,무지개,임영웅
31,You & Me,제니 (JENNIE)
32,사막에서 꽃을 피우듯,우디 (Woody)
33,예뻤어,DAY6 (데이식스)
34,London Boy,임영웅
35,Polaroid,임영웅
36,아버지,임영웅
37,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
38,Super Shy,NewJeans
39,Hype Boy,NewJeans
40,퀸카 (Queencard),(여자)아이들
41,인생찬가,임영웅
42,사랑인가 봐,멜로망스
43,한 페이지가 될 수 있게,DAY6 (데이식스)
44,Ditto,NewJeans
45,후라이의 꿈,AKMU (악뮤)
46,A bientot,임영웅
47,Standing Next to You,정국
48,ETA,NewJeans
49,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
50,사랑할 수밖에,볼빨간사춘기
51,사건의 지평선,윤하 (YOUNHA)
52,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
53,사랑하지 않아서 그랬어,임한별
54,Spicy,aespa
55,취중고백,김민석
56,심(心),DK(디셈버)
57,첫 눈,EXO
58,연애편지,임영웅
59,그대가 내 안에 박혔다(그내박),순순희(기태)
60,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
61,별 떨어진다 (I Do),디오 (D.O.)
62,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
63,봄날,방탄소년단
64,나는 아픈 건 딱 질색이니까,(여자)아이들
65,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
66,Dynamite,방탄소년단
67,LOVE DIVE,IVE (아이브)
68,I Don't Think That I Like Her,Charlie Puth
69,주저하는 연인들을 위해,잔나비
70,Kitsch,IVE (아이브)
71,Steal The Show (From “엘리멘탈”),Lauv
72,해요 (2022),#안녕
73,"그대가 있는 곳, 언제 어디든",로이킴
74,사랑..그게 뭔데,지아
75,손오공,세븐틴 (SEVENTEEN)
76,Discord,QWER
77,음악의 신,세븐틴 (SEVENTEEN)
78,물론,허각
79,After LIKE,IVE (아이브)
80,다정히 내 이름을 부르면,"경서예지, 전건호"
81,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
82,OMG,NewJeans
83,Dangerously,Charlie Puth
84,Fast Forward,전소미
85,I Love You,안세하
86,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지"
87,Off The Record,IVE (아이브)
88,Butter,방탄소년단
89,그중에 그대를 만나,김호중
90,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
91,Bubble,STAYC(스테이씨)
92,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
93,Attention,NewJeans
94,나에게 그대만이,탑현
95,Either Way,IVE (아이브)
96,Merry PLLIstmas,PLAVE
97,여섯 번째 여름,PLAVE
98,눈이 오잖아(Feat.헤이즈),이무진
99,잠시라도 우리,"성시경, 나얼"
+100,Talk Saxy,RIIZE
